,question_message_text,ans_message_text
498,Duniya🥲🥲🥲,Zaaaalim 🥲🥲
499,i feel a storm coming,What's that😐😐😐😐
500,Good Night! carry,Good night wele log
501,Hahaha yes socha kisi v I'd se koi sett to hogi 😂,Or skull to smart lag rha tha ekdm opposite 😂
502,Oho,sb admin k  hall mast hi
503,Nhi rhne do kuch khaas tho tha nhi,Sorry dekha nahi..Search krta hu
504,Hi,𝗚𝗢𝗢𝗗 𝗡𝗜𝗚𝗛𝗧 𝗦𝗪𝗘𝗘𝗧 𝗙𝗥𝗜𝗘𝗡𝗗𝗦 🌃
505,?,Matlab kya hai yar
506,how are u aditi,Hey handsome
507,Jane de,Ignore kar rahi h Fir bolegi bhav kha raha h
508,Koi nhi phr andr chala jayega😂😂,Hahaha😂😂Thoda dheere hasso.. Intestine bahar naa aajaye🤣
509,Haaa bhai...meko kya maloom.....freindship grp mai aise aurate bhihai,L lag gye tere to
510,Yar ladaki pat rahi thi . And tune sara khel bigad diya🥺🥺,Apko bhi pata h
511,Oo,This planet
512,Ohkkke so U r Owner...nice to hear...,Nope having showroom and those works are done by workers
513,No not yet,I am fine you had breakfast?
514,Ki ae.e zindagi kaise banti suhani,Kya bhejo last line apne
515,Ja ja,Ha 🧘🏻‍♂ yhi soch rha
516,Chura liya,Mera thaa😂
517,"I'm from, CG",Where are you from?I'm from maharashtra
518,Udaa diyaa 😂😂,Radhe Radhe🚩🚩🚩🚩
519,Ohh,I too friend mine
520,Amen,Allah rehum kare ameen
521,Govlok 💅,Your mom
522,badi dubidha hai zindagi me,😢 meri tuo rooz vahi eek hei kahani chal rahi hai
523,Fine wbu tnx bro,How ru so cute 😍
524,Haa aur tm usme Shakuni mama bnoge😂😂,Teri vajah se... mahabharat ho jayegi😜😂
525,Bhai yaha dikatt hogi app add Karo,Short samja de yahi pe
526,Opsss.... What happened??☹️☹️,Mood offffffffffff
527,🤣🤣🤣🤣🤣,"No I'm ok, chill😂😂"
528,@Chillwildlyf,Are divya bot h
529,teri bahon se safe or kya hoga?❤😜🤣,It's covid time stay away foolish felkow
530,Sb badiya apna btao,Ki haal hi
531,Ka matlab bhaiya,Ye gif dil kai bhav prakat krta hai🥲
532,Oh😍,How r u doing? I am india
533,Ha,Apne wala
534,Why,"Not good,mo apa lu,lagi gamonin yang virtual njing"
535,International exam k liye prepration kr rhi hu,Study kiss ki ?
536,My group's  VC?I don't have any group tho🧐,Noice btw am in yours grup vc
537,add him here in this group,I'd ni h uski
538,boring😏,environmental science ka assignment
539,Haa to kya hua,Jo bhi ho.... tumhara waha se hain na woh ladka
540,Belgavi and you,Nʏᴄ ᴡʜɪᴄʜ ᴅɪsᴛʀɪᴄᴛ
541,Or else add me in your contacts then I can text,No leave it
542,What do you think I am?,What are you taking about
543,😂😂😂😂😂,Doctor ko dikhao bhai
544,More and more donkey..... LOL,Thanks. That's one of reasons why I'm getting more and more popular. I see.
545,thanks,"It's not for you, you are legend and you have achived  everything in life"
546,Hi,Yeah I live in india
547,😱😱😱,Aaj sidha delete kiya tha😂
548,Nhi hai to kuchn dirty bol k dikhau,Naaa g😂😂
549,Whyy tho😂😂,Well I'm thats ok 😂Tell me this schl or clg ?
550,Ok ok bhai....bhgvan k ghar der he lekin andher nhi,bhai majdoor mix pakoda
551,Aree🤣🤣,😅😅 moti jyada dimag mt lga
552,😌😁😁,Hmm 👀
553,Yep,R u on 9
554,India Tamil Nadu,Am also where are you from
555,Gud nyt,Gud nyt dibbi 😛
556,Send ur pic with ur 200 childrens 😂😂,im in London at home in my garden - I just finished the flat do you wanna see pics
557,muze kuch puchna hai,I'm a grl😅😂
558,No 😮,do u speak hindi?
559,"Kuch nahi, Adi  gonna tell",😂😂 batao... Lol
560,ha,Aap ka YouTube channel bhi Hai
561,Haan 👀,"Okay okay, relax!"
562,😳,you know? idk
563,Haha 😂,you worked very hard for this ive been watching you over last two weeks
564,mum.,"Where u frm, Annie?"
565,accha bolo i can help u,Koi nhi aap busy ho free hona kabhi toh baat krnii h meri jee mains k regarding sorry apko disturb bhi kiya😅😅Bye tc
566,Tu kuud fr ate hu m,Aisa hi kud tu
567,☹️hsse q 🥺,Sahi hai good luck
568,Really🤔🤔🤣🤣🤣,Yeah he is boy named Guddi.
569,Naam batao,Looking for interesting groups? Come
570,Okey by.,I cant u d   m
571,Ladiya be,why not?
572,Yo. Me to,Hmm i am Gujarati 😊😊
573,I am good or kya chal raha  hai😊😊,"Thik hai, tum?"
574,Ooo,BA 1st year & u
575,Hm,Helo can i ask something
576,Dekh le,Kya bola tune bandi ko
577,Shut upOk?🚶‍♀😐,You will be come after taking a long long something good in you 💕💋😘
578,Hm,It's ok.Laugh and let go.
579,🤨😂,Bsc 1 st year
580,For study ?,Now living in USA
581,Shaam ko mere yaha bhi hui h,Mere yha b hui shaam ko..
582,"Hah, nigggaaa!",Hahahahhaha nibbi
583,my net was slow,I am here only
584,Alrighty😂👍,It's ok we will talk in ur mother tongue
585,"Badi badmaash ho, toh chalo apne iss badi bhai ke sath saap seeri he khelo. 🐍 😁😏😏😏😉😉😉😉😉",Naah naah😂
586,Oh best wishes for u Whats your job?,Ok good i am working nice to meet you 😊😊
587,Ok nice place 😊,Achaa i am up Lucknow
588,Yeah,Can we talk?   in d... m..
589,Neveer ever tag uI hate egostic people,I will if you repeat
590,Do you have any kids ?,I have husband
591,Iran and you,BtwWhere are you from
592,Iri bilng  bos jaksbudkhsjsjsc,Pal pale pal pale
593,Nhi btavonaGlti se muje bhi bna do,Glti se🥲
594,Good to know.,Got it
595,Bot del kr diya🙃,Mera reply kon krega 😒
596,Oh🐔😂😂,I'm still trying to figure that out.
597,Valhalla,Ok 😅gd mrng mister
598,Rhne de bas bas😒😒😒,Aur toh kya hi batau🥲
599,Don't know aap kaise hoo,so why not..m i a bad guy or any other reason?
600,Next?,King help pe to find a question
601,Whi jo hamesha apko potts bhaiya bolta hai,"SED 🥲 HUN , AAP KON BHAI ?"
602,Haan,Koi bot bannd kar diya kya 👀?
603,😳😳😳,Teri ammi ka rate kya hai?
604,U seem intriguing... I don't ur name attracts as a magnet,Why do you want to know about me👀
605,Possible nhi hai coz autotranslation to proper Hindi ka hota hai mai to hinlish likh rha hu,Auto translator 🤫
606,Pta hai mujhe 😶,Naam dekh rahe wo
607,So Rude 😒,"Han don't reply now, it's over"
608,No..but I think if u use it again may be I will,Y u rn't addicted of it?
609,Kaise ho?,H boli
610,I am always happy How are your parents,Very good u say ☺️
611,Hi,Helloo ji
612,👀👀,hey @Aheny is angry What to do ?
613,What??,Lit bhai 🔥🔥
614,Ana h kya,Kon sa collage
615,Hmm yr koi  n but,Hnn mujhe bhi bahut dukh hai
616,Oh ok,Study and other'
617,hu,You are too little
618,Lol😒,AAPSE BAATE 😢
619,Oh tag kro warn pr,Are mai nhi mere warns 🥺
620,No 😂😂,"Hume hi de do fir return, nahi chahiye to"
621,I'm fine how are you,How are you nivi
622,you bro my me sister your we siblings bond made me happy bye,Yoo or agr ap kabhi bhi sad ya upset ya demotivate feel krro to apne bhai ( mere) ke baat kr lena 😊😊
623,Tujhse ni,Nice hello
624,Hlo,Hi tara
625,No,Can we tlk?
626,"I really wish to chat with you more. Anyway, goodbye!",Bye everyone👋👋
627,Hlo,Hi @Aheny G
628,Come alome😂,😂I'm alone.
629,What?,Cause m not 😂😂
630,Oh thank u,You will be a good doctor in future
631,Wait,Gn 🌷🌷
632,No bcs u r also boring,😂can i chat with you
633,It's true,U like chocolate & butterflies!
634,Tara rara 🤣🤣,Bolo tara rara
635,Sahi hua hai,Yes again Katt gaya
636,H,Hey neha
637,Yeah 🙄what,I am asking u
638,From where!,Hi I'm from karnataka
639,Mera bhai h wo🥲,"Nita, ignore him ,don't create argument"
640,Fir q ja rahi h 🥺💔,Ni bola
641,hech narsa u bu til nima deb so'ramaydi,Hada nma qlyapsiz
642,Hey,Badly burned
643,I also in college,I m student and
644,studying,R u study or working
645,Thil hai,Sunn tujhe ek song bhjri feedback dio
646,Ekdm mst h..Aap btao apki koi wo h kya🤔,Apke BF yaar
647,Are you busy now,Okk 😊
648,Kya btau,Ji ap btao
649,İndia helicopter,yaar tu
650,Nhi merko to baat krni hai aapse 🤣🤣,Hanji aap ko bhi majak udana h mera
651,Classic! I'm sorry you had to deal with beasts,Yes and I had put on the setting of new participate muted because they were abusing admins
652,I'm telling about myself dude,anyone not just you
653,My name doesnt show that?😂,Oooh you know Persian 👍👍👍
654,Enduku🥺,ni face ki
655,Can u make me admin plzz,What happened?????
656,Okay,anki ke pass
657,Here for make some friends,मुझे अपनी योजनाओं की व्याख्या करें।
658,Ab kya fyda? 🙄,Are.. wase you should change your profile
659,Nd having some nashta At farm😂,It's great 😊
660,I know that game,Pubg ??
661,😒 kirtika,K K full form? Kailash Kher?
662,I can't speak hindi,Thoda bhut aata hai😂
663,Hgfyubf,Sini nimb breng gua tolol
664,Oo ho,Ye NuR jahan yaha
665,I don't target anyone never ever. You started acting weird.,Then stop targeting or making scene
666,1 he naam h 13 ni h,Naam h tera tera
667,👑CRAZY👑 ye h😭😭,add him here in this group
668,Apni maa se puch,How you age
669,Mai bcom1 yr m hu,Tu kya karati hai
670,Life and everything else,Ye wagera kya h
671,bhai tum kha se ho,Ha bahut sare wicket liye
672,Idk🥺🥺,Who me?
673,Hello! When is your birthday?,hi everyone
674,Bhut ache h😒😒😒😒,Acha Ghar me kaise Hain sab?
675,Hy,Tq bhai
676,Haan🥲🥲,10 rupya mahina🥲
677,😂😂,me ban hu😁😁
678,Sending you my coinbase mail,Here comes the money
679,you can when it's possible,Then txt me plzz
680,Ghnta🔔🔔🔔🔔Hmko v pta h...kitni chant ho😂,Aisa  kyuuu karre ho Bhaiyya🥲🥲🥲Bhut sidhi hu main🥲🥲🥲🥲
681,𝙰𝙰𝙽𝙺𝙷𝙴𝙸𝙽 𝙱𝙰𝙷𝚄𝚃 𝙷 𝚈𝙰𝙷𝙰!.. 𝙺𝙸𝚂𝙺𝙸 𝚔𝚒𝚜𝚔𝚒 𝙵𝙾𝙳𝚞 𝙰𝚄𝚁 𝙼𝙰𝙸𝙽 𝙺𝙷𝙾𝙾𝙽 𝙺𝙷𝙰𝚁𝙰𝚋𝚊 𝙽𝙷𝙸 𝙺𝚁𝚃𝙰 𝙼𝙴𝙺𝙾 𝙿𝚈𝚁 𝙿𝚂𝙽𝙳 H🤣🤣,To aap uski aankhien fod do..problem solve😁
682,Thanks....☺️☺️☺️,Nice and best of luck..So have u passed your 12
683,Opps,You missd my reply
684,hm v teh bro😂,Aree Bhai mae kl sara din+ sari raat vc pr thaa or aj bhi din mae nhi soya
685,Badsha means,Bollywood badsha
686,"Mari cri om""",Hey tolong saya tersesad 😭
687,Andhero sa tha mera rishta bada,Gana sun rha kyaAkelaaaa hu mai is duniyaaa maiii
688,Yeh jetyaa,Hyy Clara how are u?
689,Aahoo तू त मास्ट्रणी स ना,"Han m thik a khya kru,😂🤣🤣"
690,Ooh really,Wow ....I am too interested in that...Do you know P. k(prashant kishore)
691,Pfp means,"All good, u updated pfp, Baki I'll sleep in sometimes"
692,From iranBut im turk,hehe its joke 😂😂😂😂 apart from.that  you from which country?
693,Teri tarah bot kai hi the🥲,Congratulations 😀
694,I born in iran😐,Then why u were gone to iran 🤣🤣🤣
695,I knew it from ur name😂,Yes . Nice guess
696,Ye aise hi h,He what mene Kav kiya
697,Maybe India,what is hind?
698,Do you have Google maps?,hi chris
699,P. M dekh,Kya matlab tumhara 🙄
700,How🥺,I have a very good connection with your name🥺
701,Hahahahahhahah,Muze nhi banaya🤣
702,Eee mobarake khoshmazas?😂,😂😂5 days
703,bye,ok baad me baat karte h bye
704,I hate u three,I hate you too😂😂😂😂
705,Haa aage jaakr prblm nhi aani chahiye 😂,Bss yeahi karte rhena din bhar
706,so so can you speak Iranian ?,Ook I understand poor English also
707,Yes?,Heey. Stranger
708,IRAN,Then whre 🧐😦
709,Hmmm,Kolkata aap mat bolo
710,True friends trust but you don't trust me you are not my friend this time I'm serious,im your only TRUE friend time will tell ive got your back... u should no this
711,You feel happiness or sadness?,I like my Queenbot Team.
712,Haha great,"Me too, yesterday when I started chatting here😂"
713,Are you going to follow through with that?,I’ll follow Islam
714,"Oh, What's the matter with sugar, Short hua?",I wasn't aware of that TT
715,meatballs,What dish
716,"LMAO, I think it is just called Fancied begging",kindness generosity
717,Sstatus,Ss dikha
718,I'll adopt you🥺,Pet me🥺
719,"That was for VC, as soon as I joined I saw that 50% ppl we're mute including me.",Apko mujhse koi problem. Please mere directly indirectly kuch na bolo..jb mai nhi baat kr rhi apke bre m to apko kya dikkat
720,Broken lgte ho,Pyar k chakar mai padna b mat waat lag jayegi
721,batao n🥺😅,🤣🤣  ...Now its ur turn4 dots🤣🤣🤣
722,Nafrat is always better 😝,"तुम्ही से मुहोब्बत तुम्ही से नफरत हैं,रिश्ता कौनसा निभाया जाए दिल आज भी confuse हैं।❤️ ❤️"
723,😂😂😂,Give him your insta id 😅
724,Lol🤣🤣🤣🤣🤣🤣,haha  dekho kaise chedta hu sabko😂😂😂😂
725,kkkk 👍👍👍student  ho?,Nahi ese he milne wapas lucknow fir
726,Meera dosth here,acha aise bi hota
727,ohh nice,Ooooooh nenu mechanical
728,😜,Okay.. Thank u... 👍👍
729,🐵,Yes yes :-)
730,ava lu jamet,Cell phone
731,Yaa wait 🙃,I messege you please check. It
732,Tell me about your life in turkey.,"Myself Ankit, what about you🙂"
733,Er.,Sedness in his eyes🙂
734,❤️❤️❤️❤️❤️,Sai m 😻❤️
735,It's hard to explain.,Why not doing voice chat
736,Kiw atuh neng,Apa mas cp😍😘
737,Okay,Ohhhh nice can we talk ??
738,bot settings..😅 filters for some messages which have somewhat inappropriate content..😐🤘,Is gp me mere kai msege delete ho jaate apne aap
739,No im from south India....Can you teach me farsi language,I think ur irani
740,i am also a civil engineer,😕😐I'll promote your channel after being Civil Engineer thank uh😕
741,Bhdiya,Kese ho bhai ?
742,😂😂haa,thats the reason of that strong signal 😂
743,Just pray situation is awful,Why?? Sorry dude i don't abt Iranian culture!!
744,Yes that's my name,Kyaa ? Nam hi wo hai ya bus rakhliye sudo name .
745,🥺🥺 hmm,Bol toh diya tha🥺
746,Hnn😂 aap new ho yaha,Aur kya school clg bnd hai
747,Hmm,Aao chat karte hai
748,Mera babu,Mera chona
749,Tu bta,kya ho
750,Grp me nhi bta skta...bhr aao na pls,How can i
751,Ha🙄,P.     M.   P
752,Hii,Hllo @DiyaDiyu
753,Singh,To kya ho
754,Oh 👍😅Welcome back,Hmm Kuch problem hogyi thi that's why
755,Hmm tu bolti ni yaha mere pange karwa deti h 🤣🤣,Ohh so u noticing quitely😂
756,I'll add in the pack,Mere ko mt dena me to sad he hounga dekh k . Tum rakh lena
757,Jrur,Khelke marna
758,where are u from?,I want to say something from you ?
759,Then our place is best for you😊😊,Mountain 🏔️
760,HAHA,Wahaha org indo😂
761,Kya krta h bhi tu,Mp mujhse hai
762,Ntg🥺,What 😂😂😂
763,Unkil,Are maa Meri😂😂😂😂
764,Nope,Hello where are you busy
765,Ntg,Sad why ?
766,Nowhere..,Where are you going 👀 ?
767,Hmm........,Veendum vanneya
768,dance,What do you do in life
769,why bro why ?😢,Devdas 🥺👀
770,?,Not too bad.
771,Hi,Bht bdhiya
772,Where are you fromM,Fine thanks
773,Ji Singh sahiba ji,Hello sir kaha gye
774,Itni badi galat femi🤣🤣🤣🤣🤣🤣🤣🤣,Hn mai hi hu sarv gyaani
775,Click on ☑@sam_curran1,👦🏻 Su¤๋ࣧࣧࣧࣧࣧࣧࣧࣧࣧࣧࣧ͜͡ accepted 🐦🐦sunohit ‌ٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖ‌ٖٖٖٖٖ as his brother!
776,Baad m,ajo abb🙄
777,Lmao😂🤣🤣🤣🤣🤣,I'm blankkkkkkkkkkkkkk😂😂
778,Hehe lol,Baal kse jal gye 😂
779,wo mai tumko sula rha tha,Bb ☺️☺️ acc. To ur msg abhi toh aadhe ghante pehle so chuke ho
780,Naina,How are you nandini?
781,Lol ho,Hey 😬
782,Dikhaau kya,Dil b 3 hai kya😂😂
783,Ku6 ni,Kya ni
784,"İ love india. But I'm not Indian. I admire Indian traditions, food and dances.",Indian trustable
785,Nhi pta nhi ho rhi moti😔😔😔,Cotton khaati ho Kya  ??? 😁😁
786,Uu to hme bhi chye,पैसे नहीं आदि भाईरोजगार दिलवा दो😁
787,♥️♥️❤️♥️❤️❤️,Nahi Bhai aisa Nahi karte ungli maa Baap pe uthti hai  ap pe Nahi so bro be happy and let it be
788,Sure...am pishva,Mrci and what is your name
789,okay nice hope for the better future🤗,About to start ug ..
790,"When you feel free we will talk over it, for now play ur game(:",No no that's okay
791,😂😂😂😂😂😂😂 muje jaurat aap muje Kolkata  ghumaoge kyuki,🥲🥲naah zarurat nhi
792,kuch bi?,Mujhe lga apko bat ni krna mujhse isliye tag ni kiya😅😅😅
793,Why,Lovers should get capital punishment
794,hm bs bole ub block krdiya toh krdiya bina baat sune....choro ignore kro...isme galat kya boldiye sir😂,Jab nahi pata kuch toh matt bolo sir😂
795,😂🤣 Lol...,Hnn 😂😑
796,Sahi he 😁,jaise kal the but tense hu vaccination  ke lia jana
797,Mrng 👀,ArYA ! MORNING!
798,😂🥴zero,So how many friends did you make here?
799,Haan wo bh,Hug bhul gyi🌚
800,😂😂,abhi dosti baaki h
801,Hi hindi grp ch aahe,Yete na
802,TfAm I look like a bot?,Ayo Just conformingU a bot?
803,Thik thak,Kaise ho 👀
804,Kaha se Ho aap,😂😂nai nai
805,Okay,Just pick accept
806,Motu👀,Huuh 😐
807,Books,wht u studyng
808,U love him?,Yep With you forever
809,Kya,Muje bolna hai 🥺🥺🥺🥺
810,Clg,Schl ya clg
811,kuvc nhi,Aur kkrh
812,i am fine apka naamkya hi,Priya kha se ho
813,Good,No it's okk
814,Han,Sarkari wale hain
815,Good Morning! Pikachu,Hello sir good morning
816,Fine,Hey hru bro
817,Yes weird boy ? 😝 😂😂,Excuse me?😂
818,Fantastic spelling mistake,How are you shakshi
819,🙈,ye bhinteek hi
820,So mujhe to kisi ne btaya,I'm not bro
821,🤔 hm...,😐😐😕offline thi yrr
822,I have to read,ha man ni hi tho jaayiye tak ecare
823,Hiii,kar tho rahi hi
824,How are u,Good Mornin' 🥺🌼
825,😂😂🤭,I'm going to sleep
826,bola phle tha   aage 6 7 saal,Asli me bade ho
827,Then I will satusried with you?,No you won't be satisfied
828,Aree nhi nhi emotional nhi hona.... Always keep smiling,Getting emotional 🥺
829,Paise layaa paise,Mere ko ek gf chahiye
830,England won,Hmmm Kkrh
831,Lol,😂😂😂😂😂Mai yellow wali😂😂
832,Mja aata,Fir kyu karta hai Baar baar🥲🥲
833,I can’t understand u dorsa😂😂,Nooooo😂😂I didnt tell u last night😌😂Because i dont need to study today😌
